Date,Time,Latitude,Longitude,Depth,MD,ML,Mw,Location
2025.06.01,00:35:17,39.2440,28.9653,7.5,,2.6,,YEMISLI-SIMAV (KUTAHYA) İlksel
2025.06.01,00:38:30,39.2412,28.9895,3.7,,1.6,,YEMISLI-SIMAV (KUTAHYA) İlksel
2025.06.01,00:58:52,39.1883,40.2678,5.0,,2.8,,DARKOPRU-KIGI (BINGOL) İlksel
2025.06.01,01:19:10,36.0793,31.1013,18.0,,4.1,,AKDENIZ İlksel
2025.06.01,02:00:28,38.4992,39.1810,7.9,,3.0,,DEDEPINARI-(ELAZIG) İlksel
2025.06.01,02:20:15,40.7680,28.6685,17.6,,1.6,,MARMARA DENIZI İlksel
2025.06.01,02:21:12,37.9843,38.0880,8.5,,1.6,,KURUCAOVA-DOGANSEHIR (MALATYA) İlksel
2025.06.01,02:24:31,38.5345,38.0038,7.3,,2.1,,IRIAGAC-YAZIHAN (MALATYA) İlksel
2025.06.01,02:32:08,39.2503,40.3242,25.3,,1.6,,ESME-KIGI (BINGOL) İlksel
2025.06.01,02:33:54,39.2257,40.3333,5.0,,2.0,,DEMIRKANAT-KIGI (BINGOL) İlksel
2025.06.01,02:43:53,40.1652,31.7513,4.6,,2.1,,HIRKATEPE-BEYPAZARI (ANKARA) İlksel
2025.06.01,02:46:00,36.2885,27.0127,9.9,,1.7,,EGE DENIZI İlksel
2025.06.01,03:00:25,39.2432,28.9912,6.8,,1.6,,YEMISLI-SIMAV (KUTAHYA) İlksel
2025.06.01,03:24:26,38.4725,40.5387,12.7,,1.4,,CEPER-LICE (DIYARBAKIR) İlksel
2025.06.01,03:30:15,38.5473,38.0125,7.3,,1.9,,CIVRIL-YAZIHAN (MALATYA) İlksel
2025.06.01,03:44:31,38.7415,43.0618,5.0,,2.1,,ESENKIYI-ADILCEVAZ (BITLIS) İlksel
2025.06.01,03:47:11,38.7395,43.0737,19.2,,1.8,,VAN GOLU İlksel
2025.06.01,03:49:47,38.3057,38.8477,13.6,,1.4,,GUNDEGER-PUTURGE (MALATYA) İlksel
2025.06.01,04:26:58,36.2282,31.2448,10.5,,2.5,,AKDENIZ İlksel
